Sample description: 
Sample:   c= 12.3000 mg/ml  Code: BSA_pI_buffer
Parent(s): analysis/processed/averaged/BSA_pI_buffer_0007_sample.dat analysis/processed/averaged/BSA_pI_buffer_0007_buffer.dat
  2.492870e-02   1.624020e+05   1.896810e+04
  2.768840e-02   1.813490e+05   1.606084e+04
  3.044800e-02   1.602815e+05   1.231475e+04
  3.320760e-02   1.639624e+05   9.562411e+03
  3.596720e-02   1.510561e+05   7.434210e+03
  3.872690e-02   1.560909e+05   6.374129e+03
  4.148650e-02   1.595140e+05   5.509453e+03
  4.424610e-02   1.503805e+05   4.625615e+03
  4.700580e-02   1.512081e+05   4.012880e+03
  4.976540e-02   1.427254e+05   3.524586e+03
  5.252500e-02   1.495673e+05   3.298799e+03
  5.528470e-02   1.476576e+05   3.058847e+03
  5.804430e-02   1.502590e+05   2.820632e+03
  6.080390e-02   1.490460e+05   2.684622e+03
  6.356360e-02   1.485669e+05   2.489416e+03
  6.632320e-02   1.511538e+05   2.433641e+03
  6.908280e-02   1.500804e+05   2.323408e+03
  7.184250e-02   1.498247e+05   2.203171e+03
  7.460210e-02   1.502524e+05   2.198928e+03
  7.736170e-02   1.467584e+05   2.067254e+03
  8.012140e-02   1.478999e+05   2.071335e+03
  8.288100e-02   1.488065e+05   2.069634e+03
  8.564060e-02   1.485466e+05   2.071588e+03
  8.840030e-02   1.474718e+05   2.070516e+03
  9.115990e-02   1.518393e+05   2.003685e+03
  9.391950e-02   1.480469e+05   2.013122e+03
  9.667920e-02   1.490789e+05   1.997769e+03
  9.943880e-02   1.460430e+05   1.932767e+03
  1.021980e-01   1.465807e+05   1.930269e+03
  1.049580e-01   1.455256e+05   1.867976e+03
  1.077180e-01   1.473254e+05   1.909106e+03
  1.104770e-01   1.449109e+05   1.861909e+03
  1.132370e-01   1.471764e+05   1.812085e+03
  1.159970e-01   1.467097e+05   1.839944e+03
  1.187560e-01   1.494954e+05   1.781392e+03
  1.215160e-01   1.464855e+05   1.793874e+03
  1.242750e-01   1.456381e+05   1.787404e+03
  1.270350e-01   1.461173e+05   1.714898e+03
  1.297950e-01   1.455929e+05   1.760078e+03
  1.325540e-01   1.469538e+05   1.687266e+03
  1.353140e-01   1.444830e+05   1.700363e+03
  1.380740e-01   1.459654e+05   1.674283e+03
  1.408330e-01   1.427156e+05   1.630165e+03
  1.435930e-01   1.423597e+05   1.651553e+03
  1.463530e-01   1.429579e+05   1.615975e+03
  1.491120e-01   1.416931e+05   1.637860e+03
  1.518720e-01   1.435343e+05   1.603712e+03
  1.546310e-01   1.426274e+05   1.590742e+03
  1.573910e-01   1.440624e+05   1.585085e+03
  1.601510e-01   1.391438e+05   1.535191e+03
  1.629100e-01   1.407150e+05   1.558073e+03
  1.656700e-01   1.415108e+05   1.521632e+03
  1.684300e-01   1.385583e+05   1.507977e+03
  1.711890e-01   1.393083e+05   1.502197e+03
  1.739490e-01   1.417991e+05   1.471056e+03
  1.767080e-01   1.397251e+05   1.488443e+03
  1.794680e-01   1.377456e+05   1.442940e+03
  1.822280e-01   1.370774e+05   1.461128e+03
  1.849870e-01   1.368679e+05   1.407708e+03
  1.877470e-01   1.362000e+05   1.414649e+03
  1.905070e-01   1.372491e+05   1.426475e+03
  1.932660e-01   1.377173e+05   1.393505e+03
  1.960260e-01   1.355557e+05   1.404775e+03
  1.987860e-01   1.355469e+05   1.356071e+03
  2.015450e-01   1.333848e+05   1.365640e+03
  2.043050e-01   1.316484e+05   1.335664e+03
  2.070640e-01   1.343539e+05   1.335285e+03
  2.098240e-01   1.323619e+05   1.340904e+03
  2.125840e-01   1.315531e+05   1.307915e+03
  2.153430e-01   1.285867e+05   1.312442e+03
  2.181030e-01   1.287864e+05   1.290977e+03
  2.208630e-01   1.301041e+05   1.270965e+03
  2.236220e-01   1.302163e+05   1.293382e+03
  2.263820e-01   1.275021e+05   1.256683e+03
  2.291410e-01   1.276401e+05   1.268265e+03
  2.319010e-01   1.265067e+05   1.230985e+03
  2.346610e-01   1.269216e+05   1.229814e+03
  2.374200e-01   1.252617e+05   1.237405e+03
  2.401800e-01   1.253373e+05   1.211756e+03
  2.429400e-01   1.230716e+05   1.203573e+03
  2.456990e-01   1.251874e+05   1.195054e+03
  2.484590e-01   1.228008e+05   1.185958e+03
  2.512190e-01   1.238682e+05   1.191575e+03
  2.539780e-01   1.234562e+05   1.164845e+03
  2.567380e-01   1.218623e+05   1.174339e+03
  2.594970e-01   1.199575e+05   1.142898e+03
  2.622570e-01   1.189185e+05   1.150951e+03
  2.650170e-01   1.197371e+05   1.136367e+03
  2.677760e-01   1.199482e+05   1.123454e+03
  2.705360e-01   1.187077e+05   1.131600e+03
  2.732960e-01   1.191089e+05   1.112470e+03
  2.760550e-01   1.170857e+05   1.115667e+03
  2.788150e-01   1.162077e+05   1.085252e+03
  2.815740e-01   1.158120e+05   1.095155e+03
  2.843340e-01   1.167295e+05   1.094187e+03
  2.870940e-01   1.161474e+05   1.080323e+03
  2.898530e-01   1.152915e+05   1.070695e+03
  2.926130e-01   1.133040e+05   1.045342e+03
  2.953730e-01   1.110258e+05   1.052192e+03
  2.981320e-01   1.124327e+05   1.049939e+03
  3.008920e-01   1.135305e+05   1.041775e+03
  3.036520e-01   1.115649e+05   1.028739e+03
  3.064110e-01   1.120187e+05   1.028602e+03
  3.091710e-01   1.108318e+05   1.031364e+03
  3.119300e-01   1.092575e+05   1.007733e+03
  3.146900e-01   1.087811e+05   1.004311e+03
  3.174500e-01   1.082852e+05   1.001119e+03
  3.202090e-01   1.083837e+05   9.873304e+02
  3.229690e-01   1.061573e+05   9.899083e+02
  3.257290e-01   1.044509e+05   9.564399e+02
  3.284880e-01   1.056379e+05   9.788784e+02
  3.312480e-01   1.050015e+05   9.696136e+02
  3.340070e-01   1.043626e+05   9.546259e+02
  3.367670e-01   1.036798e+05   9.468783e+02
  3.395270e-01   1.025405e+05   9.317324e+02
  3.422860e-01   1.014142e+05   9.407412e+02
  3.450460e-01   1.006380e+05   9.291552e+02
  3.478060e-01   1.001059e+05   9.160140e+02
  3.505650e-01   1.001078e+05   9.211665e+02
  3.533250e-01   1.002135e+05   9.086523e+02
  3.560850e-01   9.903858e+04   9.130173e+02
  3.588440e-01   1.001963e+05   9.007370e+02
  3.616040e-01   9.892170e+04   8.956477e+02
  3.643630e-01   9.859812e+04   8.992673e+02
  3.671230e-01   9.658733e+04   8.840472e+02
  3.698830e-01   9.723437e+04   8.907997e+02
  3.726420e-01   9.659249e+04   8.649695e+02
  3.754020e-01   9.458587e+04   8.709662e+02
  3.781620e-01   9.576694e+04   8.640463e+02
  3.809210e-01   9.465001e+04   8.585736e+02
  3.836810e-01   9.340948e+04   8.499591e+02
  3.864410e-01   9.139199e+04   8.321563e+02
  3.892000e-01   9.220347e+04   8.476587e+02
  3.919600e-01   9.055855e+04   8.255925e+02
  3.947190e-01   9.031400e+04   8.240472e+02
  3.974790e-01   9.035956e+04   8.232636e+02
  4.002390e-01   8.954170e+04   8.150650e+02
  4.029980e-01   9.040720e+04   8.263793e+02
  4.057580e-01   8.749590e+04   7.984581e+02
  4.085180e-01   8.785550e+04   8.025546e+02
  4.112770e-01   8.658939e+04   7.938259e+02
  4.140370e-01   8.662018e+04   7.909647e+02
  4.167960e-01   8.690733e+04   7.993334e+02
  4.195560e-01   8.553411e+04   7.726627e+02
  4.223160e-01   8.317439e+04   7.744579e+02
  4.250750e-01   8.402878e+04   7.675089e+02
  4.278350e-01   8.234703e+04   7.608140e+02
  4.305950e-01   8.194760e+04   7.626535e+02
  4.333540e-01   8.126725e+04   7.517419e+02
  4.361140e-01   8.129177e+04   7.611019e+02
  4.388740e-01   8.225254e+04   7.515916e+02
  4.416330e-01   8.099276e+04   7.413027e+02
  4.443930e-01   7.994671e+04   7.386181e+02
  4.471520e-01   7.924368e+04   7.292339e+02
  4.499120e-01   7.789808e+04   7.294193e+02
  4.526720e-01   7.712221e+04   7.128445e+02
  4.554310e-01   7.694117e+04   7.149194e+02
  4.581910e-01   7.653000e+04   7.115195e+02
  4.609510e-01   7.844020e+04   7.193706e+02
  4.637100e-01   7.636424e+04   7.102999e+02
  4.664700e-01   7.397115e+04   6.909239e+02
  4.692290e-01   7.368321e+04   7.162329e+02
  4.719890e-01   7.354195e+04   7.166540e+02
  4.747490e-01   7.414344e+04   7.340726e+02
  4.775080e-01   7.170938e+04   7.215186e+02
  4.802680e-01   7.067353e+04   7.225402e+02
  4.830280e-01   7.214015e+04   7.516094e+02
  4.857870e-01   7.077121e+04   7.466346e+02
  4.885470e-01   7.038793e+04   7.603245e+02
  4.913070e-01   7.120351e+04   7.708052e+02
  4.940660e-01   6.857663e+04   7.599779e+02
  4.968260e-01   7.011656e+04   7.811036e+02
  4.995850e-01   6.811048e+04   7.655381e+02
  5.023450e-01   6.824615e+04   7.782919e+02
  5.051050e-01   6.749966e+04   7.666105e+02
  5.078640e-01   6.652716e+04   7.664110e+02
  5.106240e-01   6.550018e+04   7.627075e+02
  5.133840e-01   6.500509e+04   7.412489e+02
  5.161430e-01   6.539165e+04   7.332027e+02
  5.189030e-01   6.457357e+04   7.013299e+02
