Sample description: 
Sample:   c= 14.3167 mg/ml  Code: BSA_pI_buffer
Parent(s): C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0004_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0007_sub.dat C:/Users/Надюсик-лапатусик/YandexDisk-station.rsa/BatchMode3/analysis/processed/subtracted/BSA_pI_buffer_0010_sub.dat  
 2.492870e-002  2.371000e+005  2.008947e+004
 2.768840e-002  2.918354e+005  1.706372e+004
 3.044800e-002  2.832953e+005  1.318726e+004
 3.320760e-002  2.913709e+005  1.014838e+004
 3.596720e-002  2.836872e+005  7.911831e+003
 3.872690e-002  2.886358e+005  6.736775e+003
 4.148650e-002  2.879599e+005  5.733977e+003
 4.424610e-002  2.850613e+005  4.813357e+003
 4.700580e-002  2.908297e+005  4.166199e+003
 4.976540e-002  2.872274e+005  3.671330e+003
 5.252500e-002  2.956716e+005  3.400311e+003
 5.528470e-002  2.901460e+005  3.140426e+003
 5.804430e-002  2.939508e+005  2.880970e+003
 6.080390e-002  2.932275e+005  2.741753e+003
 6.356360e-002  2.893918e+005  2.529129e+003
 6.632320e-002  2.911830e+005  2.456148e+003
 6.908280e-002  2.884499e+005  2.337140e+003
 7.184250e-002  2.863350e+005  2.211323e+003
 7.460210e-002  2.870722e+005  2.203225e+003
 7.736170e-002  2.851616e+005  2.085756e+003
 8.012140e-002  2.880655e+005  2.088403e+003
 8.288100e-002  2.895366e+005  2.087071e+003
 8.564060e-002  2.890554e+005  2.087112e+003
 8.840030e-002  2.871966e+005  2.084178e+003
 9.115990e-002  2.882172e+005  1.995569e+003
 9.391950e-002  2.854684e+005  2.019629e+003
 9.667920e-002  2.819766e+005  1.984493e+003
 9.943880e-002  2.836663e+005  1.944464e+003
 1.021980e-001  2.853268e+005  1.943366e+003
 1.049580e-001  2.799199e+005  1.871377e+003
 1.077180e-001  2.794378e+005  1.900230e+003
 1.104770e-001  2.781479e+005  1.863122e+003
 1.132370e-001  2.818916e+005  1.809878e+003
 1.159970e-001  2.797157e+005  1.834987e+003
 1.187560e-001  2.793639e+005  1.759977e+003
 1.215160e-001  2.779388e+005  1.785187e+003
 1.242750e-001  2.772077e+005  1.780690e+003
 1.270350e-001  2.744445e+005  1.697010e+003
 1.297950e-001  2.758708e+005  1.749573e+003
 1.325540e-001  2.765391e+005  1.672588e+003
 1.353140e-001  2.729154e+005  1.687949e+003
 1.380740e-001  2.752740e+005  1.661814e+003
 1.408330e-001  2.741483e+005  1.631848e+003
 1.435930e-001  2.721374e+005  1.649822e+003
 1.463530e-001  2.728105e+005  1.612654e+003
 1.491120e-001  2.705499e+005  1.635044e+003
 1.518720e-001  2.710696e+005  1.593715e+003
 1.546310e-001  2.721302e+005  1.587519e+003
 1.573910e-001  2.719635e+005  1.573623e+003
 1.601510e-001  2.672808e+005  1.538530e+003
 1.629100e-001  2.670973e+005  1.551662e+003
 1.656700e-001  2.688930e+005  1.516048e+003
 1.684300e-001  2.636015e+005  1.504654e+003
 1.711890e-001  2.654087e+005  1.498080e+003
 1.739490e-001  2.709005e+005  1.470975e+003
 1.767080e-001  2.602956e+005  1.468350e+003
 1.794680e-001  2.609514e+005  1.435960e+003
 1.822280e-001  2.615848e+005  1.460009e+003
 1.849870e-001  2.576062e+005  1.396022e+003
 1.877470e-001  2.598580e+005  1.413390e+003
 1.905070e-001  2.569656e+005  1.411783e+003
 1.932660e-001  2.573710e+005  1.377609e+003
 1.960260e-001  2.546088e+005  1.392509e+003
 1.987860e-001  2.560678e+005  1.348272e+003
 2.015450e-001  2.520729e+005  1.358485e+003
 2.043050e-001  2.515942e+005  1.336106e+003
 2.070640e-001  2.533924e+005  1.327208e+003
 2.098240e-001  2.509536e+005  1.336100e+003
 2.125840e-001  2.487785e+005  1.300815e+003
 2.153430e-001  2.462080e+005  1.312947e+003
 2.181030e-001  2.454647e+005  1.289214e+003
 2.208630e-001  2.460252e+005  1.264433e+003
 2.236220e-001  2.464903e+005  1.286392e+003
 2.263820e-001  2.423813e+005  1.253285e+003
 2.291410e-001  2.423097e+005  1.264234e+003
 2.319010e-001  2.412760e+005  1.229506e+003
 2.346610e-001  2.412653e+005  1.226271e+003
 2.374200e-001  2.394522e+005  1.237049e+003
 2.401800e-001  2.388419e+005  1.210117e+003
 2.429400e-001  2.355487e+005  1.204056e+003
